,Breaking&Entering,Stated intent with partner,Happened at night,Elements of assault identified,Elements of theft identified,Race,Stage of Legal Procedure,Sentencing
40,False,True,True,True,True,White,Initial Hearing/Arraignment,4
41,True,True,False,True,True,Hispanic,Plea Bargaining,4
42,False,False,True,False,False,Other,Investigation,2
43,True,False,False,False,True,Hispanic,Initial Hearing/Arraignment,4
44,False,True,False,True,False,Hispanic,Pre-Trial Motions,4
45,True,True,False,False,True,Black,Plea Bargaining,2
46,False,False,True,False,False,White,Initial Hearing/Arraignment,0
47,True,False,True,False,False,Black,Plea Bargaining,0
48,False,True,True,True,True,Black,Investigation,3
49,True,True,True,True,False,Other,Initial Hearing/Arraignment,3
50,False,False,False,True,False,Other,Plea Bargaining,2
51,True,False,False,False,True,Other,Investigation,0
52,True,False,False,True,False,Black,Investigation,3
53,False,True,True,True,True,Hispanic,Initial Hearing/Arraignment,1
54,False,False,False,False,True,Hispanic,Plea Bargaining,3
55,True,True,False,True,False,Other,Investigation,4
56,True,False,False,False,False,Other,Initial Hearing/Arraignment,1
57,True,False,True,True,False,Black,Plea Bargaining,3
58,False,False,True,True,True,Hispanic,Pre-Trial Motions,1
59,True,False,False,False,False,Hispanic,Plea Bargaining,1
60,False,False,True,True,True,Black,Plea Bargaining,1
61,False,False,True,False,False,Hispanic,Plea Bargaining,1
62,False,True,True,False,False,White,Pre-Trial Motions,0
63,False,False,False,False,True,Other,Pre-Trial Motions,2
64,True,False,True,True,False,White,Initial Hearing/Arraignment,2
65,False,True,True,True,False,Hispanic,Initial Hearing/Arraignment,3
66,True,False,False,False,True,Other,Investigation,4
67,False,True,True,False,False,White,Plea Bargaining,4
68,False,False,True,True,False,Black,Pre-Trial Motions,0
69,False,True,True,False,True,White,Initial Hearing/Arraignment,1
70,True,False,False,False,False,Other,Investigation,0
71,True,True,True,False,True,Other,Initial Hearing/Arraignment,0
72,False,False,False,True,True,Black,Plea Bargaining,2
73,False,False,False,True,False,White,Investigation,1
74,True,False,True,False,False,Hispanic,Plea Bargaining,4
75,False,True,True,True,False,White,Investigation,3
76,True,True,False,True,True,White,Initial Hearing/Arraignment,4
77,False,False,False,False,False,Other,Plea Bargaining,4
78,False,False,True,False,True,Other,Pre-Trial Motions,2
79,False,False,True,True,False,Other,Initial Hearing/Arraignment,2
80,False,True,True,True,True,Black,Investigation,3
81,False,False,True,False,False,Black,Plea Bargaining,2
82,True,True,True,False,False,Other,Initial Hearing/Arraignment,2
83,True,True,True,False,False,Other,Plea Bargaining,2
84,False,False,False,False,True,Other,Plea Bargaining,3
85,True,True,True,True,True,Black,Plea Bargaining,1
86,True,True,True,False,False,Other,Plea Bargaining,4
87,True,True,True,True,True,White,Investigation,0
88,False,True,False,False,False,Hispanic,Pre-Trial Motions,2
89,True,False,True,False,True,Hispanic,Plea Bargaining,3
90,False,True,True,True,True,Black,Pre-Trial Motions,1
91,True,True,False,False,False,Hispanic,Initial Hearing/Arraignment,3
92,True,True,True,False,True,White,Initial Hearing/Arraignment,4
93,True,True,False,True,True,Other,Pre-Trial Motions,1
94,False,False,False,True,True,Black,Investigation,1
95,False,False,False,True,True,White,Investigation,0
96,False,True,False,False,False,White,Initial Hearing/Arraignment,3
97,False,False,False,True,False,White,Pre-Trial Motions,4
98,False,False,False,True,True,Hispanic,Investigation,5
99,True,False,False,True,False,Hispanic,Investigation,3
100,False,False,False,False,False,Black,Investigation,1
101,True,False,False,True,False,White,Investigation,2
102,True,False,False,False,False,Hispanic,Investigation,3
103,False,False,False,True,False,Other,Investigation,5
104,False,False,True,True,True,White,Pre-Trial Motions,1
105,True,False,True,False,False,Other,Initial Hearing/Arraignment,3
106,True,True,True,False,False,White,Pre-Trial Motions,3
107,False,True,False,False,True,Black,Investigation,4
108,True,True,False,True,False,Black,Investigation,3
109,False,True,False,True,True,White,Plea Bargaining,3
110,True,False,False,True,False,Hispanic,Initial Hearing/Arraignment,2
111,False,True,False,True,False,Black,Pre-Trial Motions,5
112,False,False,False,True,True,Black,Investigation,3
113,False,True,True,False,True,Black,Plea Bargaining,4
114,False,False,False,True,True,Hispanic,Pre-Trial Motions,2
115,True,True,False,True,False,Other,Pre-Trial Motions,1
116,False,True,False,False,False,White,Pre-Trial Motions,2
117,True,True,True,True,False,Hispanic,Investigation,0
118,True,True,False,False,True,White,Investigation,3
119,True,False,True,True,False,Other,Pre-Trial Motions,3
120,True,False,False,False,False,White,Pre-Trial Motions,0
121,False,False,True,True,False,White,Initial Hearing/Arraignment,4
122,True,True,False,False,False,White,Investigation,1
123,False,False,True,False,True,Other,Investigation,2
124,True,False,True,False,True,Hispanic,Initial Hearing/Arraignment,2
125,True,False,True,True,True,Black,Investigation,1
126,True,True,False,False,False,Black,Investigation,4
127,True,False,True,False,False,Hispanic,Initial Hearing/Arraignment,1
128,False,True,False,False,True,Other,Initial Hearing/Arraignment,1
129,False,True,True,False,False,Black,Investigation,2
130,True,True,True,True,True,White,Investigation,4
131,True,False,False,False,True,Black,Investigation,5
132,True,False,True,True,False,Other,Pre-Trial Motions,5
133,True,False,False,True,True,Black,Investigation,1
134,True,False,True,False,False,White,Plea Bargaining,0
135,True,True,True,True,True,White,Plea Bargaining,5
136,False,True,True,False,False,Hispanic,Investigation,2
137,False,False,True,False,True,Other,Investigation,0
138,True,True,False,False,True,Hispanic,Pre-Trial Motions,1
139,False,True,False,False,False,Other,Pre-Trial Motions,1
140,False,False,True,True,False,Hispanic,Pre-Trial Motions,4
141,True,True,False,True,False,Other,Initial Hearing/Arraignment,3
142,True,False,False,True,False,White,Plea Bargaining,3
143,False,True,False,False,True,White,Investigation,5
144,False,False,False,True,True,White,Initial Hearing/Arraignment,2
145,True,True,False,True,True,White,Pre-Trial Motions,4
146,True,True,True,True,True,Hispanic,Plea Bargaining,1
147,False,True,True,True,False,Other,Plea Bargaining,1
148,True,False,False,True,True,Black,Investigation,3
149,True,False,False,False,False,Hispanic,Plea Bargaining,4
150,True,True,False,True,True,Other,Plea Bargaining,3
151,False,False,False,True,True,White,Pre-Trial Motions,1
152,True,True,False,False,True,Hispanic,Initial Hearing/Arraignment,1
153,False,False,True,True,False,Other,Investigation,4
154,True,False,True,True,False,Hispanic,Investigation,0
155,False,False,False,True,False,Black,Investigation,2
156,False,True,False,False,True,Other,Plea Bargaining,3
157,False,False,True,True,False,Hispanic,Pre-Trial Motions,1
158,False,False,True,True,False,Black,Investigation,2
159,False,True,False,True,False,Black,Investigation,3
160,True,True,True,True,True,White,Initial Hearing/Arraignment,0
161,False,True,False,True,False,White,Initial Hearing/Arraignment,2
162,False,True,True,False,False,Black,Initial Hearing/Arraignment,2
163,True,False,False,False,False,White,Plea Bargaining,3
164,True,False,True,True,False,Other,Initial Hearing/Arraignment,5
165,True,False,True,False,True,Black,Pre-Trial Motions,5
166,True,False,True,True,True,Other,Investigation,2
167,False,False,False,True,True,Other,Investigation,4
168,True,False,True,True,False,Other,Pre-Trial Motions,3
169,False,False,True,True,True,Other,Plea Bargaining,3
170,False,True,False,True,False,Black,Investigation,2
171,False,True,True,False,False,Hispanic,Investigation,3
172,True,True,True,False,False,Other,Plea Bargaining,4
173,True,True,False,True,True,Black,Plea Bargaining,3
174,False,False,True,False,False,White,Investigation,4
175,True,False,False,True,True,Hispanic,Initial Hearing/Arraignment,2
176,False,True,False,True,True,Hispanic,Pre-Trial Motions,3
177,False,True,False,True,True,Black,Plea Bargaining,5
178,True,False,True,True,False,White,Pre-Trial Motions,0
179,True,False,True,True,False,White,Investigation,3
180,True,True,False,False,False,Other,Pre-Trial Motions,3
181,True,False,False,True,True,Hispanic,Initial Hearing/Arraignment,3
182,True,True,True,False,True,White,Pre-Trial Motions,4
183,False,True,False,False,True,Hispanic,Plea Bargaining,5
184,True,True,True,False,False,Black,Plea Bargaining,4
185,True,False,True,False,False,Hispanic,Pre-Trial Motions,0
186,True,True,False,True,False,Black,Plea Bargaining,2
187,False,True,False,True,True,White,Investigation,2
188,False,False,True,True,False,White,Pre-Trial Motions,2
189,True,True,True,False,False,White,Plea Bargaining,3
190,True,True,False,False,False,Other,Initial Hearing/Arraignment,2
191,False,True,False,False,True,Other,Plea Bargaining,1
192,False,True,False,True,False,Black,Investigation,0
193,False,True,True,True,False,Black,Plea Bargaining,1
194,False,False,False,False,False,Other,Pre-Trial Motions,1
195,True,False,False,True,False,White,Plea Bargaining,4
196,True,False,False,True,False,Hispanic,Investigation,4
197,True,False,True,False,True,Other,Initial Hearing/Arraignment,4
198,False,False,False,True,True,White,Initial Hearing/Arraignment,3
199,False,False,False,True,True,Other,Initial Hearing/Arraignment,3
200,True,False,False,True,True,Other,Investigation,3
201,True,False,True,True,True,Black,Plea Bargaining,2
202,False,False,False,True,False,White,Investigation,4
203,True,True,True,True,False,Black,Plea Bargaining,3
204,False,False,False,True,False,Hispanic,Pre-Trial Motions,2
205,True,False,False,True,True,Other,Plea Bargaining,0
206,False,True,True,True,False,Black,Plea Bargaining,5
207,False,True,False,False,False,White,Pre-Trial Motions,3
208,False,False,False,False,False,Black,Investigation,4
209,False,False,False,False,False,Other,Initial Hearing/Arraignment,1
210,False,True,False,True,False,Black,Investigation,2
211,False,True,False,True,False,Hispanic,Initial Hearing/Arraignment,4
212,True,False,False,True,False,Other,Pre-Trial Motions,4
213,False,True,True,True,False,White,Pre-Trial Motions,3
214,True,False,False,False,False,Black,Investigation,5
215,True,True,True,False,False,Hispanic,Initial Hearing/Arraignment,4
216,True,False,False,True,False,Other,Pre-Trial Motions,4
217,True,False,True,True,True,Other,Investigation,0
218,False,True,True,True,False,Black,Plea Bargaining,5
219,True,True,True,True,True,Other,Pre-Trial Motions,5
220,True,True,True,False,False,Other,Pre-Trial Motions,0
221,True,False,True,True,False,Other,Pre-Trial Motions,2
222,False,False,False,True,False,Hispanic,Pre-Trial Motions,2
223,False,True,False,False,False,Other,Plea Bargaining,4
224,False,True,True,True,True,Other,Pre-Trial Motions,0
225,True,False,False,True,False,Hispanic,Pre-Trial Motions,2
226,True,False,True,False,False,White,Investigation,0
227,True,True,False,False,False,Hispanic,Plea Bargaining,4
228,True,False,True,True,False,White,Pre-Trial Motions,1
229,True,False,False,False,True,Hispanic,Plea Bargaining,3
230,True,True,True,True,True,Hispanic,Investigation,3
231,False,False,False,True,True,Other,Investigation,3
232,False,True,True,False,True,Hispanic,Investigation,0
233,True,True,True,True,True,Other,Initial Hearing/Arraignment,2
234,False,False,True,False,True,White,Initial Hearing/Arraignment,0
235,False,False,True,False,False,Other,Investigation,2
236,False,False,True,False,True,Black,Investigation,2
237,False,False,True,True,True,Hispanic,Investigation,2
238,False,False,False,False,True,Other,Plea Bargaining,0
239,False,True,True,True,True,Other,Plea Bargaining,0
240,True,False,False,False,False,Other,Pre-Trial Motions,1
241,True,False,True,True,True,Other,Pre-Trial Motions,2
242,False,True,False,False,True,Black,Plea Bargaining,4
243,True,False,False,True,True,Black,Investigation,4
244,True,False,True,False,True,White,Pre-Trial Motions,0
245,False,True,False,True,True,Black,Initial Hearing/Arraignment,5
246,True,True,False,False,False,Black,Initial Hearing/Arraignment,4
247,True,False,True,True,False,Hispanic,Initial Hearing/Arraignment,2
248,True,True,False,False,True,Black,Plea Bargaining,3
249,True,False,True,True,True,Hispanic,Investigation,0
250,False,False,False,True,True,Hispanic,Plea Bargaining,1
251,False,False,True,False,True,White,Investigation,0
252,True,True,True,True,True,Hispanic,Investigation,2
253,True,True,False,True,False,Black,Plea Bargaining,4
254,False,True,True,False,True,Hispanic,Plea Bargaining,1
255,False,True,False,True,False,Other,Initial Hearing/Arraignment,0
256,True,True,False,False,True,Other,Pre-Trial Motions,1
257,True,False,False,False,False,Other,Initial Hearing/Arraignment,2
258,True,True,False,True,True,Black,Plea Bargaining,0
259,True,True,False,True,False,Other,Plea Bargaining,1
260,False,False,False,True,True,Hispanic,Pre-Trial Motions,0
261,False,True,True,False,True,White,Pre-Trial Motions,1
262,False,True,True,False,True,White,Plea Bargaining,4
263,True,False,False,False,False,Black,Plea Bargaining,5
264,True,False,False,False,False,Black,Investigation,2
265,True,True,False,False,False,Hispanic,Plea Bargaining,2
266,False,False,False,False,False,White,Initial Hearing/Arraignment,0
267,False,True,False,False,False,White,Pre-Trial Motions,2
268,False,True,False,False,True,Other,Pre-Trial Motions,2
269,True,True,True,True,False,Other,Plea Bargaining,1
270,False,True,False,True,False,Other,Initial Hearing/Arraignment,1
271,True,False,True,False,False,Hispanic,Plea Bargaining,0
272,True,False,True,True,False,Other,Initial Hearing/Arraignment,3
273,True,False,False,True,False,White,Investigation,3
274,True,True,True,True,True,Black,Investigation,2
275,False,False,True,False,False,Hispanic,Plea Bargaining,2
276,False,True,True,False,True,White,Pre-Trial Motions,1
277,False,False,False,True,True,Hispanic,Investigation,3
278,True,False,True,True,True,Black,Investigation,1
279,True,True,True,True,False,Other,Pre-Trial Motions,1
280,True,True,True,True,False,Other,Pre-Trial Motions,0
281,True,True,True,False,False,Other,Initial Hearing/Arraignment,2
282,False,False,False,True,False,Hispanic,Plea Bargaining,4
283,False,True,True,True,False,Black,Plea Bargaining,4
284,False,False,True,False,False,Other,Plea Bargaining,0
285,True,True,False,False,True,Other,Pre-Trial Motions,2
286,False,False,True,True,False,White,Plea Bargaining,4
287,False,False,False,False,False,Hispanic,Investigation,1
288,False,True,False,True,False,Black,Plea Bargaining,4
289,False,False,False,False,False,Hispanic,Investigation,0
290,False,False,False,False,False,Black,Plea Bargaining,4
291,False,True,True,True,False,Other,Plea Bargaining,2
292,True,False,True,True,False,White,Investigation,3
293,True,False,False,True,False,Hispanic,Pre-Trial Motions,1
294,False,False,False,True,True,White,Pre-Trial Motions,2
295,True,True,False,False,False,Hispanic,Investigation,2
296,False,True,False,False,False,Hispanic,Initial Hearing/Arraignment,3
297,True,False,True,True,False,Other,Initial Hearing/Arraignment,3
298,True,True,True,True,True,White,Pre-Trial Motions,4
299,True,False,False,True,True,Other,Pre-Trial Motions,3
300,True,False,True,False,True,Black,Plea Bargaining,4
301,False,True,True,False,False,Hispanic,Initial Hearing/Arraignment,4
302,True,False,True,True,True,Black,Plea Bargaining,5
303,True,False,True,True,True,Hispanic,Pre-Trial Motions,4
304,True,False,True,True,True,Black,Plea Bargaining,3
305,True,False,False,False,False,Other,Initial Hearing/Arraignment,1
306,False,False,False,False,True,Hispanic,Initial Hearing/Arraignment,2
307,True,True,True,True,True,White,Plea Bargaining,4
308,False,False,False,False,False,Black,Pre-Trial Motions,3
309,False,False,True,True,True,Other,Initial Hearing/Arraignment,3
310,False,False,True,False,True,Hispanic,Plea Bargaining,3
311,True,True,True,True,False,White,Pre-Trial Motions,1
312,True,False,True,False,False,White,Plea Bargaining,4
313,True,True,True,False,True,Black,Initial Hearing/Arraignment,5
314,False,False,False,True,False,White,Pre-Trial Motions,1
315,True,True,False,False,True,White,Initial Hearing/Arraignment,3
316,False,False,False,True,False,Other,Pre-Trial Motions,3
317,True,True,True,True,True,White,Initial Hearing/Arraignment,3
318,True,False,False,True,True,Hispanic,Initial Hearing/Arraignment,0
319,False,False,False,True,True,Other,Initial Hearing/Arraignment,0
320,False,False,True,False,False,Black,Investigation,3
321,False,True,True,False,False,Other,Investigation,3
322,False,True,True,False,True,Other,Initial Hearing/Arraignment,2
323,True,False,True,False,True,Hispanic,Initial Hearing/Arraignment,1
324,False,True,False,False,True,Hispanic,Initial Hearing/Arraignment,3
325,False,True,True,True,True,White,Plea Bargaining,4
326,False,False,True,False,True,White,Pre-Trial Motions,1
327,False,False,True,True,True,White,Initial Hearing/Arraignment,2
328,True,True,True,True,False,Other,Plea Bargaining,3
329,True,True,True,False,False,Other,Plea Bargaining,1
330,True,True,False,False,True,Hispanic,Pre-Trial Motions,4
331,True,False,False,True,True,White,Plea Bargaining,2
332,False,True,True,True,False,Hispanic,Pre-Trial Motions,0
333,True,False,True,True,False,White,Plea Bargaining,4
334,True,False,False,False,False,Hispanic,Investigation,5
335,True,False,False,False,True,White,Investigation,4
336,True,True,True,False,False,Black,Investigation,3
337,False,False,True,False,False,Hispanic,Plea Bargaining,1
338,False,False,True,True,False,White,Plea Bargaining,1
339,True,False,False,False,True,Other,Investigation,2
340,False,False,True,False,False,White,Investigation,2
341,True,False,False,True,False,Black,Plea Bargaining,3
342,True,True,False,True,True,White,Plea Bargaining,3
343,False,False,True,True,True,White,Investigation,4
344,True,True,True,True,True,Other,Initial Hearing/Arraignment,2
345,True,True,False,False,True,White,Investigation,1
346,True,True,True,True,True,Black,Pre-Trial Motions,4
347,False,False,True,False,True,Other,Pre-Trial Motions,0
348,True,True,True,True,False,Other,Pre-Trial Motions,4
349,False,True,True,False,True,Black,Initial Hearing/Arraignment,5
350,True,True,False,True,False,Hispanic,Initial Hearing/Arraignment,2
351,True,False,False,False,False,Black,Initial Hearing/Arraignment,5
352,True,True,True,False,True,White,Initial Hearing/Arraignment,1
353,False,True,False,False,True,White,Pre-Trial Motions,4
354,True,False,True,True,True,Hispanic,Initial Hearing/Arraignment,3
355,True,True,True,False,True,Other,Initial Hearing/Arraignment,4
356,False,True,False,False,False,Hispanic,Initial Hearing/Arraignment,2
357,True,False,False,False,False,Hispanic,Pre-Trial Motions,2
358,False,True,False,True,False,Black,Plea Bargaining,5
359,True,True,True,True,True,Black,Investigation,3
360,False,True,False,False,False,Black,Plea Bargaining,2
361,False,True,True,True,True,White,Initial Hearing/Arraignment,3
362,False,False,False,True,True,Hispanic,Initial Hearing/Arraignment,4
363,True,False,True,True,False,Other,Initial Hearing/Arraignment,1
364,False,False,True,False,True,Black,Plea Bargaining,4
365,True,True,True,False,False,Black,Investigation,5
366,True,False,False,False,False,Hispanic,Initial Hearing/Arraignment,4
367,True,True,False,False,False,Hispanic,Investigation,2
368,False,False,False,False,True,Hispanic,Plea Bargaining,3
369,False,True,False,False,False,Other,Plea Bargaining,0
370,True,True,True,False,True,Black,Plea Bargaining,3
371,False,True,True,False,False,Other,Initial Hearing/Arraignment,0
372,False,False,True,True,False,Hispanic,Initial Hearing/Arraignment,2
373,True,False,True,True,True,Black,Investigation,5
374,False,True,True,True,False,White,Initial Hearing/Arraignment,4
375,True,True,True,True,False,Other,Initial Hearing/Arraignment,0
376,False,True,True,False,True,White,Initial Hearing/Arraignment,2
377,True,False,False,True,True,Hispanic,Plea Bargaining,2
378,True,False,False,True,True,Black,Investigation,4
379,True,False,True,False,False,Other,Pre-Trial Motions,4
380,True,True,False,True,True,Black,Plea Bargaining,4
381,True,False,True,False,False,Hispanic,Initial Hearing/Arraignment,4
382,True,False,True,True,True,Other,Plea Bargaining,0
383,False,True,False,False,True,Hispanic,Pre-Trial Motions,2
384,True,True,True,True,True,Other,Pre-Trial Motions,1
385,True,True,False,True,True,Other,Initial Hearing/Arraignment,1
386,False,True,False,False,True,Black,Investigation,4
387,True,False,False,False,True,Black,Investigation,0
388,True,True,False,False,False,Black,Plea Bargaining,0
389,True,True,True,True,False,Other,Initial Hearing/Arraignment,1
390,False,True,True,True,True,Hispanic,Investigation,3
391,True,False,True,True,True,Hispanic,Investigation,0
392,True,True,True,False,True,Black,Initial Hearing/Arraignment,3
393,False,True,True,True,True,Other,Initial Hearing/Arraignment,1
394,False,True,True,False,False,Hispanic,Investigation,3
395,True,True,False,True,True,Other,Plea Bargaining,2
396,True,False,False,False,True,Other,Investigation,0
397,True,True,True,True,True,Hispanic,Initial Hearing/Arraignment,2
398,False,True,True,True,True,Other,Investigation,3
399,True,False,True,False,True,White,Investigation,3
400,False,True,True,False,False,Hispanic,Plea Bargaining,0
401,True,False,True,False,True,White,Initial Hearing/Arraignment,4
402,False,True,True,True,False,Black,Plea Bargaining,2
403,True,True,False,True,True,White,Investigation,4
404,False,False,True,True,False,Black,Plea Bargaining,5
405,False,True,True,True,True,Hispanic,Plea Bargaining,1
406,False,True,True,True,True,Hispanic,Plea Bargaining,2
407,True,False,False,True,False,White,Investigation,1
408,True,False,False,True,True,Hispanic,Plea Bargaining,1
409,False,False,True,False,True,Other,Plea Bargaining,3
410,True,True,False,False,True,White,Plea Bargaining,1
411,False,False,True,False,True,Black,Investigation,2
412,True,False,True,False,True,Other,Plea Bargaining,2
413,True,False,False,False,True,Hispanic,Investigation,2
414,False,False,False,False,False,Other,Plea Bargaining,1
415,False,False,False,True,True,Black,Investigation,4
416,True,False,False,False,False,Hispanic,Investigation,1
417,False,False,False,True,True,Black,Initial Hearing/Arraignment,4
418,False,False,True,False,False,White,Plea Bargaining,2
419,True,False,False,True,False,Black,Plea Bargaining,4
420,True,True,False,True,True,White,Initial Hearing/Arraignment,3
421,False,True,False,False,True,Other,Plea Bargaining,1
422,False,False,False,False,False,White,Investigation,1
423,True,True,True,False,True,Other,Initial Hearing/Arraignment,0
424,False,False,True,True,True,Black,Plea Bargaining,5
425,True,True,False,False,True,Hispanic,Initial Hearing/Arraignment,1
426,True,True,True,False,True,Hispanic,Pre-Trial Motions,1
427,False,True,True,False,True,Other,Pre-Trial Motions,2
428,True,False,False,True,True,Other,Initial Hearing/Arraignment,3
429,True,True,True,True,True,Hispanic,Investigation,2
430,True,False,True,True,False,Black,Investigation,2
431,True,False,False,False,False,Black,Plea Bargaining,4
432,False,True,True,True,False,Other,Investigation,2
433,True,False,True,True,False,White,Investigation,0
434,False,True,True,False,False,White,Investigation,2
435,True,True,True,False,True,Hispanic,Initial Hearing/Arraignment,1
436,True,False,True,False,True,Other,Pre-Trial Motions,3
437,False,False,True,True,True,Black,Investigation,1
438,False,True,True,False,True,Other,Initial Hearing/Arraignment,4
439,True,False,True,True,False,Hispanic,Initial Hearing/Arraignment,1
440,False,True,True,False,True,Black,Investigation,4
441,True,False,True,False,False,Other,Initial Hearing/Arraignment,4
442,False,False,True,False,False,Other,Initial Hearing/Arraignment,3
443,False,False,True,True,False,Other,Investigation,1
444,True,True,False,True,True,Hispanic,Pre-Trial Motions,4
445,True,True,True,True,False,White,Plea Bargaining,2
446,True,False,False,False,False,Black,Investigation,5
447,True,True,True,False,True,Hispanic,Plea Bargaining,0
448,False,True,True,False,True,Other,Plea Bargaining,0
449,True,True,True,True,True,Black,Pre-Trial Motions,3
450,True,False,False,True,True,Hispanic,Plea Bargaining,2
451,True,False,False,True,False,Hispanic,Pre-Trial Motions,3
452,False,False,True,True,False,Hispanic,Investigation,5
453,True,True,False,True,False,Other,Pre-Trial Motions,3
454,False,True,True,False,False,White,Pre-Trial Motions,2
455,True,True,False,True,True,Black,Plea Bargaining,3
456,False,True,True,False,True,White,Initial Hearing/Arraignment,1
457,False,False,True,False,False,Other,Investigation,4
458,False,True,False,False,True,Hispanic,Initial Hearing/Arraignment,0
459,True,False,True,True,True,Black,Plea Bargaining,3
460,True,True,False,True,True,Hispanic,Plea Bargaining,1
461,False,True,False,True,True,Other,Initial Hearing/Arraignment,2
462,False,False,True,True,True,Other,Pre-Trial Motions,0
463,True,True,False,False,True,Hispanic,Investigation,2
464,False,True,True,True,True,White,Investigation,0
465,False,False,False,True,False,Black,Plea Bargaining,4
466,False,True,True,True,False,Black,Investigation,3
467,True,False,False,True,True,Other,Initial Hearing/Arraignment,4
468,True,True,True,False,False,Hispanic,Investigation,3
469,False,False,False,True,True,Other,Plea Bargaining,2
470,True,False,False,True,True,Hispanic,Initial Hearing/Arraignment,0
471,True,False,True,True,True,Hispanic,Initial Hearing/Arraignment,1
472,True,True,False,True,False,White,Investigation,1
473,True,True,True,True,True,Black,Plea Bargaining,2
474,False,False,False,False,False,Hispanic,Pre-Trial Motions,3
475,False,True,True,False,False,White,Initial Hearing/Arraignment,0
476,True,False,False,True,True,Other,Investigation,4
477,False,False,True,False,True,Other,Pre-Trial Motions,1
478,False,True,False,True,True,Hispanic,Pre-Trial Motions,3
479,False,True,True,False,True,White,Initial Hearing/Arraignment,0
480,False,True,True,True,True,Black,Pre-Trial Motions,2
481,True,True,True,True,False,Other,Initial Hearing/Arraignment,3
482,True,False,True,True,True,Hispanic,Pre-Trial Motions,3
483,False,False,True,False,False,Hispanic,Plea Bargaining,0
484,True,True,False,True,True,White,Plea Bargaining,3
485,False,False,False,True,False,White,Initial Hearing/Arraignment,3
486,False,True,False,False,False,Hispanic,Initial Hearing/Arraignment,3
487,True,False,True,True,False,White,Pre-Trial Motions,2
488,True,True,True,True,True,White,Pre-Trial Motions,4
489,False,False,False,True,False,Hispanic,Investigation,0
490,False,True,False,True,True,Hispanic,Pre-Trial Motions,1
491,False,False,False,True,False,Other,Investigation,2
492,False,False,False,False,False,Hispanic,Pre-Trial Motions,3
493,False,True,True,False,True,White,Investigation,1
494,False,True,False,True,False,Black,Plea Bargaining,2
495,True,False,False,True,False,Black,Plea Bargaining,4
496,False,True,False,True,True,Other,Initial Hearing/Arraignment,2
497,False,True,False,False,False,White,Initial Hearing/Arraignment,4
498,False,False,False,True,False,Other,Initial Hearing/Arraignment,3
499,True,True,False,True,False,Hispanic,Plea Bargaining,4
500,True,True,True,False,True,Black,Investigation,5
501,True,False,True,False,True,Hispanic,Initial Hearing/Arraignment,0
502,False,False,False,False,True,Black,Plea Bargaining,2
503,False,False,False,True,False,Other,Initial Hearing/Arraignment,2
504,False,False,False,True,False,Black,Plea Bargaining,5
505,False,False,True,False,False,Black,Investigation,4
506,False,True,False,False,True,White,Investigation,2
507,False,True,False,False,False,Other,Pre-Trial Motions,4
508,False,True,True,False,False,Hispanic,Pre-Trial Motions,1
509,False,False,True,False,False,Other,Pre-Trial Motions,2
510,True,False,False,True,False,Other,Plea Bargaining,4
511,False,False,True,False,True,Other,Investigation,3
512,True,True,False,True,True,Hispanic,Investigation,3
