,Breaking&Entering,Stated intent with partner,Happened at night,Elements of assault identified,Elements of theft identified,Race,Stage of Legal Procedure,Sentencing
139,True,False,True,True,True,Hispanic,Plea Bargaining,1
140,False,False,False,True,False,Hispanic,Investigation,0
141,False,True,False,True,True,Hispanic,Plea Bargaining,4
142,False,False,True,True,False,Other,Pre-Trial Motions,4
143,True,True,False,False,True,Black,Plea Bargaining,4
144,True,False,False,True,True,Black,Initial Hearing/Arraignment,1
145,True,True,True,False,False,Other,Pre-Trial Motions,3
146,True,True,True,True,True,Other,Initial Hearing/Arraignment,1
147,True,False,True,True,True,Other,Plea Bargaining,4
148,True,False,False,False,True,Black,Plea Bargaining,5
149,False,False,False,True,False,Black,Plea Bargaining,2
150,True,True,False,True,False,Black,Plea Bargaining,5
151,False,True,False,False,False,Other,Initial Hearing/Arraignment,4
152,False,False,False,False,True,Other,Initial Hearing/Arraignment,1
153,True,True,False,True,True,White,Investigation,4
154,True,False,True,True,False,Black,Plea Bargaining,3
155,False,True,False,False,True,Hispanic,Initial Hearing/Arraignment,1
156,False,False,False,True,False,Hispanic,Pre-Trial Motions,1
157,True,True,False,False,True,White,Investigation,1
158,False,False,False,True,False,Black,Plea Bargaining,4
159,False,True,False,True,False,Black,Investigation,3
160,False,False,False,False,True,White,Pre-Trial Motions,4
161,True,True,False,False,False,Black,Plea Bargaining,3
162,False,True,False,False,False,Black,Plea Bargaining,4
163,True,True,True,False,False,White,Investigation,4
164,True,False,False,True,False,Hispanic,Plea Bargaining,2
165,False,True,False,True,False,White,Plea Bargaining,2
166,False,True,True,False,True,Other,Pre-Trial Motions,1
167,False,True,False,True,True,White,Pre-Trial Motions,0
168,True,False,True,False,False,Hispanic,Initial Hearing/Arraignment,3
169,False,True,True,False,True,White,Pre-Trial Motions,3
170,True,True,True,True,True,White,Plea Bargaining,2
171,False,True,False,True,False,White,Pre-Trial Motions,1
172,False,True,True,False,True,Hispanic,Initial Hearing/Arraignment,3
173,False,True,False,True,False,Black,Plea Bargaining,5
174,False,False,False,True,False,Other,Initial Hearing/Arraignment,2
175,False,False,False,True,False,White,Plea Bargaining,3
176,True,False,True,False,True,White,Initial Hearing/Arraignment,5
177,True,False,True,True,True,White,Investigation,4
178,False,False,True,True,True,Hispanic,Pre-Trial Motions,2
179,True,True,True,False,False,Other,Initial Hearing/Arraignment,1
180,True,False,False,False,False,White,Investigation,1
181,True,True,True,False,False,Black,Pre-Trial Motions,3
182,False,True,False,False,True,Black,Plea Bargaining,3
183,True,False,False,True,True,White,Initial Hearing/Arraignment,3
184,False,True,True,False,False,Black,Plea Bargaining,5
185,True,True,False,False,True,Other,Plea Bargaining,1
186,False,False,True,False,False,Other,Investigation,1
187,False,True,True,True,False,Black,Initial Hearing/Arraignment,3
188,True,True,True,True,False,Black,Plea Bargaining,4
189,True,True,True,True,True,Hispanic,Pre-Trial Motions,1
190,True,False,False,False,False,Hispanic,Pre-Trial Motions,0
191,False,True,True,True,False,Other,Plea Bargaining,4
192,True,False,True,True,False,Hispanic,Investigation,4
193,False,True,False,False,True,White,Pre-Trial Motions,2
194,False,True,True,False,False,Black,Plea Bargaining,3
195,False,True,False,False,False,Black,Investigation,5
196,True,False,True,False,True,White,Initial Hearing/Arraignment,1
197,True,False,False,False,True,White,Investigation,4
198,False,False,True,True,True,Other,Investigation,5
199,False,True,True,True,False,Black,Plea Bargaining,4
200,True,False,True,False,True,White,Plea Bargaining,3
201,False,False,True,False,False,Other,Initial Hearing/Arraignment,4
202,True,True,False,True,False,White,Investigation,4
203,False,False,False,False,False,Other,Initial Hearing/Arraignment,2
204,True,True,True,True,True,White,Initial Hearing/Arraignment,2
205,False,False,False,False,False,Hispanic,Pre-Trial Motions,1
206,True,False,False,True,True,Black,Investigation,5
207,False,False,True,True,True,Other,Investigation,2
208,False,True,True,False,False,Hispanic,Pre-Trial Motions,1
209,False,False,True,False,False,White,Plea Bargaining,2
210,True,False,True,True,False,Other,Plea Bargaining,2
211,True,False,True,False,False,Hispanic,Plea Bargaining,3
212,False,True,True,True,True,Black,Initial Hearing/Arraignment,2
213,True,True,False,False,False,Hispanic,Initial Hearing/Arraignment,4
214,False,True,False,False,False,Other,Initial Hearing/Arraignment,3
215,False,False,False,True,False,White,Investigation,1
216,False,False,True,True,True,Other,Investigation,5
217,True,True,True,True,True,Other,Initial Hearing/Arraignment,0
218,True,False,True,False,True,Hispanic,Pre-Trial Motions,0
219,False,True,True,True,True,Hispanic,Pre-Trial Motions,4
220,True,True,False,True,False,White,Investigation,0
221,False,False,False,True,False,Other,Initial Hearing/Arraignment,3
222,True,False,False,False,False,Hispanic,Pre-Trial Motions,4
223,True,True,True,True,False,Other,Investigation,2
224,True,False,True,True,True,Other,Pre-Trial Motions,3
225,True,True,True,False,False,Black,Plea Bargaining,5
226,True,False,False,True,True,Black,Plea Bargaining,4
227,True,False,False,True,True,White,Initial Hearing/Arraignment,0
228,False,False,True,False,False,Hispanic,Initial Hearing/Arraignment,2
229,False,True,True,True,True,Black,Investigation,3
230,True,False,False,False,True,Black,Plea Bargaining,3
231,False,False,False,False,False,Hispanic,Plea Bargaining,1
232,False,True,True,True,False,Other,Plea Bargaining,1
233,True,False,False,False,True,White,Pre-Trial Motions,4
234,False,False,False,False,True,White,Investigation,4
235,False,True,False,True,True,Other,Pre-Trial Motions,4
236,False,True,False,True,True,White,Investigation,3
237,True,False,False,False,True,Other,Plea Bargaining,1
238,False,True,False,False,True,Black,Investigation,3
239,False,True,False,False,False,Other,Pre-Trial Motions,1
240,True,False,True,True,False,Other,Plea Bargaining,5
241,False,True,False,True,False,White,Plea Bargaining,1
242,True,True,False,False,True,Black,Investigation,3
243,True,True,True,True,True,White,Pre-Trial Motions,1
244,False,False,True,False,True,White,Plea Bargaining,3
245,True,True,False,True,False,Hispanic,Initial Hearing/Arraignment,3
246,True,True,False,False,False,Hispanic,Investigation,4
247,True,False,False,False,True,White,Investigation,4
248,False,True,False,True,True,White,Initial Hearing/Arraignment,3
249,True,False,False,False,False,Hispanic,Plea Bargaining,4
250,False,True,False,False,True,Hispanic,Pre-Trial Motions,2
251,True,True,False,False,False,Hispanic,Initial Hearing/Arraignment,2
252,True,False,True,False,True,Hispanic,Initial Hearing/Arraignment,1
253,True,True,False,True,False,Other,Investigation,1
254,False,False,True,True,False,Other,Initial Hearing/Arraignment,3
255,False,True,False,True,True,White,Initial Hearing/Arraignment,5
256,False,False,True,False,False,Other,Plea Bargaining,0
257,True,True,False,True,False,Hispanic,Pre-Trial Motions,5
258,True,True,True,True,False,Other,Initial Hearing/Arraignment,3
259,True,False,False,True,False,Other,Investigation,2
260,True,False,True,False,False,Other,Pre-Trial Motions,3
261,True,True,True,False,True,Other,Plea Bargaining,1
262,False,False,False,False,True,Hispanic,Initial Hearing/Arraignment,0
263,False,True,False,True,True,Hispanic,Investigation,3
264,True,True,False,False,True,Other,Initial Hearing/Arraignment,3
265,False,True,False,True,False,Hispanic,Initial Hearing/Arraignment,0
266,True,True,False,True,True,Hispanic,Plea Bargaining,3
267,True,True,True,False,False,Hispanic,Initial Hearing/Arraignment,5
268,False,False,False,False,False,Other,Pre-Trial Motions,2
269,False,False,True,False,True,White,Plea Bargaining,1
270,False,True,False,True,True,Black,Plea Bargaining,3
271,False,False,True,False,True,Hispanic,Pre-Trial Motions,2
272,False,False,False,True,True,Hispanic,Investigation,4
273,True,False,False,True,True,Other,Investigation,2
274,False,True,False,False,True,White,Initial Hearing/Arraignment,0
275,False,True,True,False,False,Black,Pre-Trial Motions,1
276,True,True,False,True,False,Hispanic,Pre-Trial Motions,4
277,True,True,True,True,False,White,Pre-Trial Motions,3
278,True,False,False,True,False,White,Plea Bargaining,2
279,False,True,False,False,False,Black,Initial Hearing/Arraignment,2
280,True,False,True,True,False,Black,Plea Bargaining,3
281,True,True,False,True,True,Black,Plea Bargaining,5
282,True,False,False,True,True,White,Initial Hearing/Arraignment,2
283,True,True,False,True,True,White,Plea Bargaining,4
284,True,False,False,True,True,White,Plea Bargaining,0
285,False,False,True,True,True,Other,Plea Bargaining,1
286,False,False,True,True,True,Hispanic,Plea Bargaining,0
287,False,True,False,False,False,Other,Pre-Trial Motions,5
288,True,True,False,True,False,Other,Initial Hearing/Arraignment,5
289,True,False,False,False,True,Hispanic,Plea Bargaining,2
290,False,False,False,True,False,Black,Investigation,2
291,True,False,False,False,False,Black,Plea Bargaining,5
292,False,True,False,False,False,White,Initial Hearing/Arraignment,2
293,False,False,False,False,False,White,Initial Hearing/Arraignment,1
294,False,True,True,False,True,Other,Investigation,4
295,False,True,False,True,True,White,Plea Bargaining,0
296,True,False,True,False,False,Black,Plea Bargaining,3
297,False,True,True,False,True,Hispanic,Plea Bargaining,0
298,True,True,True,False,True,Hispanic,Plea Bargaining,3
299,False,True,True,True,False,Other,Investigation,3
300,True,True,False,False,True,Other,Plea Bargaining,0
301,True,False,True,False,True,Hispanic,Pre-Trial Motions,1
302,False,True,False,False,True,Black,Plea Bargaining,5
303,True,False,True,True,False,Black,Initial Hearing/Arraignment,4
304,False,True,True,False,True,White,Plea Bargaining,3
305,True,False,False,True,True,Other,Initial Hearing/Arraignment,1
306,False,True,True,False,True,Hispanic,Investigation,3
307,True,False,False,True,True,Hispanic,Pre-Trial Motions,4
308,False,False,True,True,False,Other,Initial Hearing/Arraignment,5
309,True,True,True,False,False,Other,Pre-Trial Motions,3
310,False,False,False,True,False,White,Investigation,0
311,True,False,False,False,False,Other,Investigation,2
312,True,False,True,False,False,White,Pre-Trial Motions,2
313,True,False,False,False,True,White,Investigation,0
314,False,True,False,False,True,Other,Pre-Trial Motions,0
315,False,True,False,True,True,Black,Investigation,0
316,True,False,False,True,True,Black,Plea Bargaining,5
317,True,False,True,False,False,Other,Initial Hearing/Arraignment,0
318,True,True,False,False,True,Other,Initial Hearing/Arraignment,2
319,True,True,False,False,False,Hispanic,Investigation,1
320,False,False,False,False,False,Hispanic,Initial Hearing/Arraignment,4
321,False,True,True,False,True,White,Pre-Trial Motions,2
322,False,True,False,False,False,White,Plea Bargaining,3
323,True,False,False,False,True,Other,Investigation,5
324,True,False,True,False,False,Black,Plea Bargaining,4
325,True,True,True,True,False,Other,Plea Bargaining,2
326,False,False,True,True,True,White,Pre-Trial Motions,0
327,True,False,False,True,True,White,Pre-Trial Motions,4
328,True,True,True,True,False,Other,Plea Bargaining,4
329,True,False,False,False,False,Other,Initial Hearing/Arraignment,4
330,True,False,False,True,False,White,Pre-Trial Motions,0
331,False,True,False,True,False,Hispanic,Plea Bargaining,1
332,False,True,True,True,False,Other,Investigation,4
333,False,True,False,False,True,Other,Plea Bargaining,1
334,True,True,False,True,True,Black,Plea Bargaining,4
335,False,False,False,True,False,White,Initial Hearing/Arraignment,1
336,False,True,False,False,True,Black,Initial Hearing/Arraignment,1
337,True,True,True,True,True,Other,Initial Hearing/Arraignment,4
338,True,True,False,True,True,Hispanic,Plea Bargaining,5
339,False,True,True,True,True,Black,Investigation,5
340,True,True,False,False,False,Black,Initial Hearing/Arraignment,2
341,False,True,False,True,True,Black,Plea Bargaining,1
342,False,True,False,True,True,Black,Plea Bargaining,0
343,True,False,False,False,False,Hispanic,Investigation,2
344,True,True,False,False,False,Hispanic,Plea Bargaining,2
345,False,False,True,True,False,Other,Investigation,3
346,True,False,False,True,False,Other,Plea Bargaining,2
347,True,True,False,False,False,Hispanic,Investigation,3
348,True,True,True,True,True,Hispanic,Plea Bargaining,0
349,False,False,True,False,True,White,Initial Hearing/Arraignment,3
350,True,False,False,False,False,Black,Investigation,3
351,True,True,True,False,False,Hispanic,Initial Hearing/Arraignment,0
352,True,False,False,False,True,Other,Initial Hearing/Arraignment,3
353,False,True,False,True,False,White,Plea Bargaining,3
354,False,True,True,False,True,White,Plea Bargaining,5
355,False,False,False,False,False,Other,Investigation,2
356,True,True,False,False,False,Black,Pre-Trial Motions,5
357,True,True,True,True,True,Other,Plea Bargaining,4
358,False,True,False,False,True,White,Pre-Trial Motions,2
359,True,False,False,True,True,White,Initial Hearing/Arraignment,4
360,False,True,False,True,False,Hispanic,Pre-Trial Motions,3
361,True,True,True,True,False,Other,Initial Hearing/Arraignment,2
362,True,True,False,False,True,Black,Initial Hearing/Arraignment,4
363,True,False,False,False,True,Other,Plea Bargaining,4
364,True,False,False,False,False,White,Pre-Trial Motions,4
365,True,False,False,False,True,Hispanic,Pre-Trial Motions,5
366,True,False,True,True,False,Hispanic,Plea Bargaining,2
367,False,False,True,True,False,Black,Investigation,5
368,True,True,False,False,False,White,Investigation,2
369,False,False,False,False,False,Other,Pre-Trial Motions,1
370,True,False,True,False,False,Black,Investigation,4
371,False,True,False,True,False,Hispanic,Plea Bargaining,3
372,True,True,False,False,True,Other,Investigation,3
373,False,True,True,False,False,Black,Investigation,1
374,False,False,True,False,True,Hispanic,Investigation,3
375,False,False,False,True,True,White,Pre-Trial Motions,1
376,True,True,True,False,False,Black,Pre-Trial Motions,3
377,False,False,True,True,False,Hispanic,Plea Bargaining,1
378,False,False,False,True,True,Hispanic,Initial Hearing/Arraignment,1
379,True,True,False,False,False,White,Investigation,1
380,True,False,True,True,False,Other,Initial Hearing/Arraignment,3
381,True,True,True,True,False,Other,Initial Hearing/Arraignment,2
382,True,False,True,True,False,Hispanic,Pre-Trial Motions,3
383,True,True,False,False,True,Hispanic,Plea Bargaining,3
384,True,False,True,False,True,Other,Investigation,0
385,True,True,False,True,False,White,Plea Bargaining,1
386,False,False,True,False,True,Black,Plea Bargaining,0
387,False,False,False,False,True,White,Initial Hearing/Arraignment,2
388,False,False,False,False,False,White,Investigation,1
389,False,False,True,False,True,Hispanic,Pre-Trial Motions,4
390,True,False,True,True,False,Other,Initial Hearing/Arraignment,5
391,False,True,True,False,False,Black,Plea Bargaining,5
392,True,False,False,True,False,White,Initial Hearing/Arraignment,1
393,True,True,False,False,False,Hispanic,Initial Hearing/Arraignment,4
394,True,False,False,True,False,Hispanic,Investigation,2
395,True,False,True,True,True,Hispanic,Plea Bargaining,3
396,True,False,False,False,True,Other,Investigation,1
397,False,False,False,True,False,White,Plea Bargaining,0
398,False,True,True,False,False,White,Initial Hearing/Arraignment,2
399,False,True,True,True,False,White,Initial Hearing/Arraignment,1
400,False,True,True,True,True,Black,Investigation,5
401,False,False,True,False,False,Hispanic,Investigation,2
402,True,False,True,True,False,Other,Investigation,3
403,False,True,False,True,False,White,Plea Bargaining,3
404,True,True,False,True,False,Other,Pre-Trial Motions,3
405,False,True,False,True,False,Black,Investigation,4
406,True,True,False,False,True,Black,Initial Hearing/Arraignment,4
407,False,False,False,True,True,Other,Initial Hearing/Arraignment,3
408,True,False,False,True,False,Hispanic,Initial Hearing/Arraignment,3
409,False,False,True,False,False,White,Initial Hearing/Arraignment,0
410,False,False,True,True,True,White,Initial Hearing/Arraignment,1
411,True,True,True,True,True,Hispanic,Initial Hearing/Arraignment,4
412,True,True,True,False,True,Hispanic,Initial Hearing/Arraignment,2
413,False,False,False,True,True,Hispanic,Investigation,3
414,False,False,True,True,False,Other,Initial Hearing/Arraignment,2
415,True,False,False,True,True,Other,Plea Bargaining,5
416,False,True,True,False,False,Other,Initial Hearing/Arraignment,5
417,False,False,False,False,False,Other,Investigation,2
418,False,False,False,False,False,Hispanic,Pre-Trial Motions,1
419,True,True,False,False,False,Hispanic,Plea Bargaining,3
420,True,True,True,False,True,White,Investigation,1
421,True,False,True,True,True,Hispanic,Pre-Trial Motions,3
422,False,True,False,False,False,White,Plea Bargaining,5
423,False,False,False,False,False,Other,Plea Bargaining,2
424,True,False,True,False,True,White,Investigation,4
425,False,True,False,False,False,White,Plea Bargaining,2
426,True,False,False,True,False,White,Pre-Trial Motions,1
427,False,False,False,True,True,Other,Pre-Trial Motions,4
428,True,True,True,False,False,Other,Initial Hearing/Arraignment,0
429,True,True,False,False,True,Hispanic,Investigation,1
430,False,True,False,False,False,White,Investigation,3
431,True,True,True,False,True,Hispanic,Pre-Trial Motions,2
432,True,True,True,True,True,Other,Initial Hearing/Arraignment,2
433,True,False,False,False,False,Hispanic,Investigation,4
434,True,False,False,False,False,Other,Plea Bargaining,2
435,True,False,False,True,False,White,Plea Bargaining,3
436,False,True,False,True,False,White,Investigation,4
437,False,False,True,False,False,Black,Investigation,2
438,False,False,False,True,False,Black,Plea Bargaining,4
439,False,True,False,True,True,Other,Investigation,2
440,False,True,True,True,False,Other,Pre-Trial Motions,3
441,True,False,True,False,False,Black,Initial Hearing/Arraignment,3
442,True,False,False,True,True,Hispanic,Initial Hearing/Arraignment,3
443,True,False,False,True,False,Hispanic,Plea Bargaining,3
444,False,False,False,True,True,White,Pre-Trial Motions,5
445,False,False,False,False,False,Other,Initial Hearing/Arraignment,4
446,True,True,False,True,True,Hispanic,Plea Bargaining,5
447,False,False,False,True,False,Other,Pre-Trial Motions,1
448,True,False,True,False,True,Black,Investigation,5
449,False,True,False,False,True,Hispanic,Pre-Trial Motions,5
450,True,False,False,False,True,Black,Pre-Trial Motions,4
451,True,False,True,True,True,Black,Plea Bargaining,3
452,False,True,False,False,True,Hispanic,Pre-Trial Motions,1
453,False,False,False,True,True,White,Plea Bargaining,5
454,True,True,True,True,True,Black,Plea Bargaining,3
455,True,False,False,True,False,Hispanic,Plea Bargaining,1
456,False,True,True,True,True,Other,Investigation,5
457,False,False,False,False,False,White,Investigation,1
458,False,False,False,False,False,Other,Initial Hearing/Arraignment,1
459,False,True,True,False,False,White,Pre-Trial Motions,4
460,False,True,True,False,False,Other,Initial Hearing/Arraignment,1
461,True,True,False,False,False,White,Investigation,1
462,False,False,False,True,False,Other,Investigation,4
463,False,False,False,False,True,White,Plea Bargaining,1
464,True,True,True,False,False,Other,Investigation,4
465,True,False,True,False,True,Hispanic,Pre-Trial Motions,2
466,False,False,False,False,True,White,Initial Hearing/Arraignment,1
467,False,True,True,True,False,White,Investigation,4
468,False,True,True,True,True,Black,Plea Bargaining,5
469,True,True,True,False,False,White,Plea Bargaining,3
470,True,False,False,False,False,Hispanic,Initial Hearing/Arraignment,4
471,False,True,False,True,True,Other,Pre-Trial Motions,1
472,False,True,True,False,True,Other,Plea Bargaining,1
473,False,False,False,False,False,Other,Initial Hearing/Arraignment,4
474,True,True,False,True,True,Other,Plea Bargaining,3
475,False,False,True,False,False,White,Investigation,2
476,True,False,False,True,True,Black,Investigation,3
477,True,True,True,False,True,Hispanic,Pre-Trial Motions,5
478,True,False,True,True,True,Black,Pre-Trial Motions,3
479,False,False,False,True,True,White,Plea Bargaining,3
480,False,True,True,True,False,White,Investigation,2
481,True,False,False,False,True,Other,Initial Hearing/Arraignment,1
482,True,True,False,False,True,Hispanic,Investigation,2
483,True,False,True,True,False,White,Investigation,2
484,False,True,False,False,True,Other,Pre-Trial Motions,3
485,False,False,True,True,True,Other,Pre-Trial Motions,2
486,False,True,False,True,True,Hispanic,Initial Hearing/Arraignment,2
487,False,False,True,True,True,Hispanic,Investigation,2
488,True,True,True,False,False,Other,Plea Bargaining,1
489,True,False,True,True,True,Black,Plea Bargaining,4
490,False,True,True,False,False,White,Initial Hearing/Arraignment,0
491,False,False,False,False,False,White,Initial Hearing/Arraignment,3
492,True,False,False,False,False,Hispanic,Initial Hearing/Arraignment,3
493,True,False,False,False,True,Other,Initial Hearing/Arraignment,5
494,True,True,True,True,True,Other,Investigation,2
495,False,False,False,True,False,Black,Investigation,3
496,False,False,True,False,False,White,Initial Hearing/Arraignment,2
497,True,False,False,False,False,White,Plea Bargaining,2
498,True,False,True,True,False,Hispanic,Initial Hearing/Arraignment,3
499,True,False,False,False,False,Other,Initial Hearing/Arraignment,1
500,True,True,False,True,True,Hispanic,Investigation,2
501,False,True,False,True,True,Hispanic,Pre-Trial Motions,3
502,True,False,False,False,False,Other,Initial Hearing/Arraignment,3
503,True,False,True,False,True,Black,Initial Hearing/Arraignment,0
504,True,False,True,False,False,Other,Initial Hearing/Arraignment,1
505,False,False,False,False,True,Hispanic,Initial Hearing/Arraignment,3
506,False,True,False,True,True,Black,Initial Hearing/Arraignment,5
507,False,False,True,True,True,Black,Plea Bargaining,4
508,False,True,True,True,True,White,Investigation,2
509,True,False,False,True,True,Black,Investigation,2
510,False,True,False,True,False,Hispanic,Plea Bargaining,2
